Table Index,Row Index,Original English,Thai Translation,Status
1,93,Flooding and Microbeads,น้ำท่วมและไมโครบีดส์,Translated
1,94,05 mins,05 นาที,Translated
1,95,Summary,สรุป,Translated
1,96,05 mins,05 นาที,Translated
1,97,Summary,สรุป,Translated
1,98,05 mins,05 นาที,Translated
1,99,Summary,สรุป,Translated
1,100,Select the highlighted module to proceed.,เลือกโมดูลที่ไฮไลต์เพื่อดำเนินการต่อ,Translated
1,101,The course is divided into four module. ,หลักสูตรนี้แบ่งออกเป็นสี่โมดูล,Translated
1,102, , ,Skipped/Protected
1,103,Select the highlighted module to proceed.,เลือกโมดูลที่ไฮไลต์เพื่อดำเนินการต่อ,Translated
1,104,Menu,เมนู,Translated
1,105,Circular Economy in Plastic Waste Management,เศรษฐกิจหมุนเวียนในการจัดการขยะพลาสติก,Translated
1,106,FOUNDATIONS OF   ,รากฐานของ,Translated
1,107,PLASTIC WASTE MANAGEMENT,การจัดการขยะพลาสติก,Translated
1,108,30 mins,30 นาที,Translated
1,109,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,110,30 mins,30 นาที,Translated
1,111,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,112,30 mins,30 นาที,Translated
1,113,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,114,15 mins,15 นาที,Translated
1,115,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,116,15 mins,15 นาที,Translated
1,117,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,118,15 mins,15 นาที,Translated
1,119,Climate Interactions vs Plastic Waste Management,ปฏิสัมพันธ์ระหว่างสภาพภูมิอากาศกับการจัดการขยะพลาสติก,Translated
1,120,10 mins,10 นาที,Translated
1,121,Plastics in Solid Waste  Management: ,พลาสติกในการจัดการขยะมูลฝอย:,Translated
1,122,Flooding and Microbeads,น้ำท่วมและไมโครบีดส์,Translated
1,123,10 mins,10 นาที,Translated
1,124,Plastics in Solid Waste  Management: ,พลาสติกในการจัดการขยะมูลฝอย:,Translated
1,125,Flooding and Microbeads,น้ำท่วมและไมโครบีดส์,Translated
1,126,10 mins,10 นาที,Translated
1,127,Plastics in Solid Waste  Management: ,พลาสติกในการจัดการขยะมูลฝอย:,Translated
1,128,Flooding and Microbeads,น้ำท่วมและไมโครบีดส์,Translated
1,129,05 mins,05 นาที,Translated
1,130,Summary,สรุป,Translated
1,131,05 mins,05 นาที,Translated
1,132,Summary,สรุป,Translated
1,133,05 mins,05 นาที,Translated
1,134,Summary,สรุป,Translated
1,135,Select the highlighted module to proceed.,เลือกโมดูลที่ไฮไลต์เพื่อดำเนินการต่อ,Translated
1,136,Select NEXT to continue.,เลือก NEXT เพื่อดำเนินการต่อ,Translated
1,137,4/62,4/62,Skipped/Protected
1,138,The course is divided into four module. ,หลักสูตรนี้แบ่งออกเป็นสี่โมดูล,Translated
1,139, , ,Skipped/Protected
1,140,Select the highlighted module to proceed.,เลือกโมดูลที่ไฮไลต์เพื่อดำเนินการต่อ,Translated
1,141,"Plastics and Plastic Waste: Types, Impact, and Future",พลาสติกและขยะพลาสติก: ประเภท ผลกระทบ และอนาคต,Translated
1,142,Camping Time!,เวลาแคมป์ปิ้ง!,Translated
1,143,Camping Time!,เวลาแคมป์ปิ้ง!,Translated
1,144,Anya  Malee’s daughter,ลูกสาวอัญญา มาลี,Translated
1,145,Professor Malee,อาจารย์มาลี,Translated
1,146,Nisha ,นิชา,Translated
1,147,Anya’s friend,เพื่อนของอันย่า,Translated
1,148,Daniel ,แดเนียล,Translated
1,149,Anya’s friend,เพื่อนของอันย่า,Translated
1,150,"Professor Malee loves to go camping. This time, he is accompanied by his daughter Anya and her friends Nisha and Daniel. ",อาจารย์มาลีชอบไปตั้งแคมป์ คราวนี้เขามาพร้อมกับอันย่าลูกสาวของเขาและเพื่อนของเธอนิชาและแดเนียล,Translated
1,151, , ,Skipped/Protected
1,152,Anya and Daniel go to the nearby stream to fill water. Daniel uses a plastic bottle and notices that Anya uses a metal one. ,อันยาและแดเนียลไปที่ลำธารใกล้ ๆ เพื่อเติมน้ำ แดเนียลใช้ขวดพลาสติกและสังเกตเห็นว่าย่าใช้ขวดที่เป็นโลหะ,Translated
1,153,Isn’t Plastic Convenient?,พลาสติกไม่สะดวกเหรอ?,Translated
1,154,But banana peels and plastic behave very differently in the environment.,แต่เปลือกกล้วยและพลาสติกมีพฤติกรรมแตกต่างกันมากในสิ่งแวดล้อม,Translated
1,155,Isn’t Plastic Convenient?,พลาสติกไม่สะดวกเหรอ?,Translated
1,156,"You can’t do that, Daniel! Throwing it away here will pollute the place. ",คุณไม่สามารถทำอย่างนั้นแดเนียล! การทิ้งที่นี่จะทำให้สถานที่เกิดมลพิษ,Translated
1,157,"Yes, it is. I shouldn't leave waste behind either.",ใช่มันเป็น ฉันก็ไม่ควรทิ้งขยะไว้ข้างหลังเช่นกัน,Translated
1,158,Not really. I just try to reduce plastic use  where I can. ,ไม่เชิง. ฉันแค่พยายามลดการใช้พลาสติกเท่าที่ทำได้,Translated
1,159,"But it’s so convenient. Like this plastic bottle. Once the trip is over, I’ll just throw it away. I don’t need to carry it back.",แต่มันสะดวกมาก เช่นขวดพลาสติกนี้ จบทริปแล้วผมจะทิ้งมันไป ฉันไม่จำเป็นต้องแบกมันกลับ,Translated
1,160,But yesterday I saw you toss a banana peel. Isn’t that  waste too?,แต่เมื่อวานฉันเห็นเธอโยนเปลือกกล้วย นั่นก็ไม่เสียเปล่าเหมือนกันเหรอ?,Translated
1,161,"Anya, I’ve noticed you don’t use as much plastic as the rest of us. Don’t tell me you’re some kind of environmental crusader?",อันย่า ฉันสังเกตว่าคุณไม่ได้ใช้พลาสติกมากเท่ากับพวกเราที่เหลือ อย่าบอกนะว่าคุณเป็นพวกทำสงครามสิ่งแวดล้อม?,Translated
1,162,"Daniel: Anya, I’ve noticed you don’t use as much plastic as the rest of us. Don’t tell me you’re some kind of environmental crusader? ",แดเนียล: อันย่า ฉันสังเกตเห็นว่าคุณไม่ได้ใช้พลาสติกมากเท่ากับพวกเราที่เหลือ อย่าบอกนะว่าคุณเป็นพวกทำสงครามสิ่งแวดล้อม?,Translated
1,163, , ,Skipped/Protected
1,164,Anya: Not really. I just try to reduce plastic use where I can.  ,อันย่า: ไม่จริงหรอก ฉันแค่พยายามลดการใช้พลาสติกเท่าที่ทำได้,Translated
1,165, , ,Skipped/Protected
1,166,"Daniel: But it’s so convenient. Like this plastic bottle. Once the trip is over, I’ll just throw it away. I don’t need to carry it back. ",แดเนียล: แต่มันสะดวกมาก เช่นขวดพลาสติกนี้ จบทริปแล้วผมจะทิ้งมันไป ฉันไม่จำเป็นต้องแบกมันกลับ,Translated
1,167, , ,Skipped/Protected
1,168,"Anya: You can’t do that, Daniel! Throwing it away here will pollute the place. ",อันย่า: คุณทำอย่างนั้นไม่ได้นะแดเนียล! การทิ้งที่นี่จะทำให้สถานที่เกิดมลพิษ,Translated
1,169, , ,Skipped/Protected
1,170,Daniel: But yesterday I saw you toss a banana peel. Isn’t that waste too? ,แดเนียล: แต่เมื่อวานฉันเห็นคุณโยนเปลือกกล้วย นั่นก็ไม่เสียเปล่าเหมือนกันเหรอ?,Translated
1,171, , ,Skipped/Protected
1,172,"Anya: Yes, it is. I shouldn't leave waste behind either. But banana peels and plastic behave very differently in the environment. ",อันย่า : ใช่แล้ว ฉันก็ไม่ควรทิ้งขยะไว้ข้างหลังเช่นกัน แต่เปลือกกล้วยและพลาสติกมีพฤติกรรมแตกต่างกันมากในสิ่งแวดล้อม,Translated
1,173, , ,Skipped/Protected
1,174,Plastic vs Banana,พลาสติกกับกล้วย,Translated
1,175,Plastic vs Banana,พลาสติกกับกล้วย,Translated
1,176,Natural organic ,อินทรีย์ธรรมชาติ,Translated
1,177,Synthetic organics  ,สารอินทรีย์สังเคราะห์,Translated
1,178,(Most are made from petrochemicals),(ส่วนใหญ่ทำจากปิโตรเคมี),Translated
1,179,Molecular structure of  some plastics or polymers,โครงสร้างโมเลกุลของพลาสติกหรือโพลีเมอร์บางชนิด,Translated
1,180,Molecular structure of banana peel,โครงสร้างโมเลกุลของเปลือกกล้วย,Translated
1,181,Both banana peels and plastics are organic. They’re  carbon-based compounds.  ,ทั้งเปลือกกล้วยและพลาสติกล้วนเป็นออร์แกนิก เป็นสารประกอบที่มีคาร์บอนเป็นหลัก,Translated
1,182,But there’s a big difference.,แต่มีความแตกต่างใหญ่,Translated
1,183,Biodegradable ,ย่อยสลายได้,Translated
1,184,Non-biodegradable,ไม่สามารถย่อยสลายได้,Translated
1,185,Stays in the environment for centuries,อยู่ในสิ่งแวดล้อมมานานหลายศตวรรษ,Translated
1,186,Disappears in weeks,หายไปในสัปดาห์,Translated
1,187,"Professor Malee: Anya is right. I agree, both banana peels and plastics are carbon-based organic compounds. But there’s a big difference.  ",ศาสตราจารย์มาลี: อัญญาพูดถูก ฉันยอมรับว่าทั้งเปลือกกล้วยและพลาสติกเป็นสารประกอบอินทรีย์ที่มีคาร์บอน แต่มีความแตกต่างใหญ่,Translated
1,188, , ,Skipped/Protected
1,189,"A banana peel is natural organic matter, so microorganisms can break it down. Plastics, on the other hand, are synthetic organics. Most are made from petrochemicals.  ",เปลือกกล้วยเป็นอินทรียวัตถุตามธรรมชาติ ดังนั้นจุลินทรีย์จึงสามารถย่อยสลายได้ ในทางกลับกัน พลาสติกเป็นสารอินทรีย์สังเคราะห์ ส่วนใหญ่ทำจากปิโตรเคมี,Translated
1,190, , ,Skipped/Protected
1,191,"These are refined, then turned into polymers, which are long, strong chains of molecules. When we modify these chains to make them tougher or waterproof, like in bottles, they become non-biodegradable.  ",สิ่งเหล่านี้ถูกทำให้บริสุทธิ์แล้วกลายเป็นโพลีเมอร์ซึ่งเป็นสายโซ่โมเลกุลที่ยาวและแข็งแรง เมื่อเราปรับเปลี่ยนโซ่เหล่านี้ให้แข็งแรงขึ้นหรือกันน้ำได้ เหมือนในขวด โซ่เหล่านี้จะไม่สามารถย่อยสลายทางชีวภาพได้,Translated
1,192, , ,Skipped/Protected
1,193,"That’s why a banana peel, which is biodegradable, disappears in weeks, but a plastic bottle can stay in the environment for centuries.  ",นั่นเป็นเหตุผลว่าทำไมเปลือกกล้วยซึ่งย่อยสลายได้ทางชีวภาพจึงหายไปภายในไม่กี่สัปดาห์ แต่ขวดพลาสติกสามารถคงอยู่ในสิ่งแวดล้อมได้นานหลายศตวรรษ,Translated
1,194,Degradation Time of Plastics,เวลาในการย่อยสลายของพลาสติก,Translated
1,195,Degradation Time of Plastics ,เวลาในการย่อยสลายของพลาสติก,Translated
1,196,Plastics we use today will still  be around hundreds of years  from now?,พลาสติกที่เราใช้ในปัจจุบันจะยังคงอยู่อีกประมาณหลายร้อยปีนับจากนี้?,Translated
1,197,How long do you think each of these items will take to degrade?,คุณคิดว่าแต่ละรายการเหล่านี้จะใช้เวลาในการย่อยสลายนานเท่าใด?,Translated
1,198,Plastic doesn’t disappear.  But some items last much longer than others.,พลาสติกไม่หายไป  แต่บางรายการก็ใช้งานได้นานกว่ารายการอื่นมาก,Translated
1,199,"Drag the items in order, from the one that degrades the fastest to  the one that lasts the longest, then select SUBMIT.",ลากรายการตามลำดับ จากรายการที่จะลดระดับเร็วที่สุดไปยังรายการที่อยู่นานที่สุด จากนั้นเลือก ส่ง,Translated
1,200,Nappy,ผ้าอ้อม,Translated
1,201,Fishing line,สายเบ็ด,Translated
1,202,Aluminium can,กระป๋องอลูมิเนียม,Translated
1,203,Plastic bottle,ขวดพลาสติก,Translated
1,204,Styrofoam cup,ถ้วยโฟม,Translated
1,205,Fastest,เร็วที่สุด,Translated
1,206,Slowest,ช้าที่สุด,Translated
1,207,SUBMIT,ส่งข้อมูล,Translated
1,208,SUBMIT,ส่งข้อมูล,Translated
1,209,SUBMIT,ส่งข้อมูล,Translated
1,210,"Nisha: Sir, did I just hear you say that plastics we use today will still be around hundreds of years from now?  ",นิชา : ท่านคะ ฉันได้ยินคุณพูดว่าพลาสติกที่เราใช้กันทุกวันนี้จะยังอยู่อีกหลายร้อยปีต่อจากนี้เหรอ?,Translated
1,211, , ,Skipped/Protected
1,212,"Professor Malee: Plastic doesn’t disappear, but some items last much longer than others.  ",ศาสตราจารย์มาลี: พลาสติกไม่ได้หายไปแต่บางชิ้นก็อยู่ได้นานกว่าชิ้นอื่นมาก,Translated
1,213, , ,Skipped/Protected
1,214,Let me ask you something.  ,ฉันขอถามคุณบางอย่าง,Translated
1,215, , ,Skipped/Protected
1,216,How long do you think each of these items will take to degrade?  ,คุณคิดว่าแต่ละรายการเหล่านี้จะใช้เวลาในการย่อยสลายนานเท่าใด?,Translated
1,217, , ,Skipped/Protected
1,218,"Narrator: Drag the items in order, from the one that degrades the fastest to the one that lasts the longest, then select SUBMIT.  ",ผู้บรรยาย: ลากรายการตามลำดับ จากรายการที่ลดระดับเร็วที่สุดไปยังรายการที่คงอยู่นานที่สุด จากนั้นเลือก ส่ง,Translated
1,219, , ,Skipped/Protected
1,220,Professor Malee: Spot On! ,ศาสตราจารย์มาลี: เยี่ยมเลย!,Translated
1,221,"Every piece of plastic ever made still exists in some form, though the degradation time may vary for different plastic products.  ",พลาสติกทุกชิ้นที่เคยผลิตยังคงมีอยู่ในรูปแบบใดรูปแบบหนึ่ง แม้ว่าเวลาในการย่อยสลายอาจแตกต่างกันไปตามผลิตภัณฑ์พลาสติกแต่ละชนิด,Translated
1,222, , ,Skipped/Protected
1,223,Not Quite!  ,ไม่เชิง!,Translated
1,224,Most people underestimate how long these materials stay with us. Let’s look at the real numbers.  ,คนส่วนใหญ่ดูถูกดูแคลนว่าวัสดุเหล่านี้จะอยู่กับเรานานแค่ไหน มาดูตัวเลขจริงกัน,Translated
1,225,"Some items like Styrofoam cups take 50 years to degrade. Others, like plastic bottles, take up to 450 years.  ",สิ่งของบางอย่าง เช่น ถ้วยโฟมใช้เวลาย่อยสลายถึง 50 ปี อื่นๆ เช่น ขวดพลาสติก ใช้เวลาถึง 450 ปี,Translated
1,226,Imagine that! The very first plastics made over a hundred years ago are still with us today and will remain long after we’re gone.  ,ลองจินตนาการดูสิ! พลาสติกชิ้นแรกๆ ที่ผลิตเมื่อกว่าร้อยปีที่แล้วยังคงอยู่กับเราจนทุกวันนี้ และจะคงอยู่ต่อไปอีกนานหลังจากที่เราจากไป,Translated
1,227, , ,Skipped/Protected
1,228,Anya: I’m glad I stopped using disposable plastic bags and bottles. ,อัญญา: ฉันดีใจที่เลิกใช้ถุงพลาสติกและขวดพลาสติกแบบใช้แล้วทิ้ง,Translated
1,229,Degradation Time of Plastics ,เวลาในการย่อยสลายของพลาสติก,Translated
1,230,I’m glad I stopped using disposable plastic bags and bottles.,ฉันดีใจที่เลิกใช้ถุงพลาสติกและขวดพลาสติกแบบใช้แล้วทิ้ง,Translated
1,231,The very first plastics made ,พลาสติกชิ้นแรกๆ ที่ผลิตขึ้น,Translated
1,232,over a 100 years ago ,กว่า 100 ปีที่แล้ว,Translated
1,233,are still  with us ,ยังคงอยู่กับเรา,Translated
1,234,today,วันนี้,Translated
1,235, and will remain long after we’re gone.,และคงอยู่ต่อไปอีกนานเมื่อเราจากไป,Translated
1,236,Degradation Time of Plastics ,เวลาในการย่อยสลายของพลาสติก,Translated
1,237,Spot On!,ตรงประเด็น!,Translated
1,238,Even the “fastest” item lasts longer than most human lifetimes.,"แม้แต่สิ่งของที่ ""เร็วที่สุด"" ก็ยังมีอายุการใช้งานยาวนานกว่าช่วงชีวิตของมนุษย์ส่วนใหญ่",Translated
1,239,Nappy,ผ้าอ้อม,Translated
1,240,Aluminium can,กระป๋องอลูมิเนียม,Translated
1,241,Styrofoam cup,ถ้วยโฟม,Translated
1,242,Fishing line,สายเบ็ด,Translated
1,243,Plastic bottle,ขวดพลาสติก,Translated
1,244,"Every piece of plastic ever made still exists in some form, though the degradation time may vary for different plastic products.",พลาสติกทุกชิ้นที่เคยผลิตยังคงมีอยู่ในรูปแบบใดรูปแบบหนึ่ง แม้ว่าเวลาในการย่อยสลายอาจแตกต่างกันไปตามผลิตภัณฑ์พลาสติกแต่ละชนิด,Translated
1,245,Fastest,เร็วที่สุด,Translated
1,246,Slowest,ช้าที่สุด,Translated
1,247,CONTINUE,CONTINUE,Skipped/Protected
1,248,CONTINUE,CONTINUE,Skipped/Protected
1,249,Continue,CONTINUE,Translated
1,250,Degradation Time of Plastics ,เวลาในการย่อยสลายของพลาสติก,Translated
1,251,Not Quite!,ไม่เชิง!,Translated
1,252,Let’s look at the real numbers.,มาดูตัวเลขจริงกัน,Translated
1,253,Nappy,ผ้าอ้อม,Translated
1,254,Aluminium can,กระป๋องอลูมิเนียม,Translated
1,255,Styrofoam cup,ถ้วยโฟม,Translated
1,256,Fishing line,สายเบ็ด,Translated
1,257,Plastic bottle,ขวดพลาสติก,Translated
1,258,Most people underestimate how long these materials stay with us. Let’s look at the  real numbers.,คนส่วนใหญ่ดูถูกดูแคลนว่าวัสดุเหล่านี้จะอยู่กับเรานานแค่ไหน มาดูตัวเลขจริงกัน,Translated
1,259,Fastest,เร็วที่สุด,Translated
1,260,Slowest,ช้าที่สุด,Translated
1,261,CONTINUE,CONTINUE,Skipped/Protected
1,262,CONTINUE,CONTINUE,Skipped/Protected
1,263,Continue,CONTINUE,Translated
1,264,Types of Plastic,ประเภทของพลาสติก,Translated
1,265,Types of Plastic,ประเภทของพลาสติก,Translated
1,266,Polyethylene terephthalate,โพลีเอทิลีนเทเรฟทาเลต,Translated
1,267,Polyethylene terephthalate,โพลีเอทิลีนเทเรฟทาเลต,Translated
1,268,Polyethylene (high density),โพลีเอทิลีน (ความหนาแน่นสูง),Translated
1,269,Polyethylene (high density),โพลีเอทิลีน (ความหนาแน่นสูง),Translated
1,270,Polyvinyl chloride,โพลีไวนิลคลอไรด์,Translated
1,271,Polyvinyl chloride,โพลีไวนิลคลอไรด์,Translated
1,272,Polyethylene (low density),โพลีเอทิลีน (ความหนาแน่นต่ำ),Translated
1,273,Polyethylene (low density),โพลีเอทิลีน (ความหนาแน่นต่ำ),Translated
1,274,Every piece of plastic ever made still exists in some form.,พลาสติกทุกชิ้นที่เคยทำมายังคงมีอยู่ในรูปแบบใดรูปแบบหนึ่ง,Translated
1,275,"They’re all plastic but vary in look and feel, like they’re made from different kinds.",ทั้งหมดนี้เป็นพลาสติกแต่มีรูปลักษณ์และความรู้สึกที่แตกต่างกัน เหมือนทำจากชนิดต่างๆ,Translated
1,276,Polypropylene,โพรพิลีน,Translated
1,277,Polypropylene,โพรพิลีน,Translated
1,278,Polystyrene,โพลีสไตรีน,Translated
1,279,Polystyrene,โพลีสไตรีน,Translated
1,280,Bisphenol A  and others,บิสฟีนอล เอ และอื่นๆ,Translated
1,281,Bisphenol A  and others,บิสฟีนอล เอ และอื่นๆ,Translated
1,282,Plastics,พลาสติก,Translated
1,283, are ,เป็น,Translated
1,284,everywhere!,ทุกที่!,Translated
1,285,Select each type of plastic to view its characteristics and examples.,เลือกพลาสติกแต่ละประเภทเพื่อดูลักษณะและตัวอย่าง,Translated
1,286,"Professor Malee: That’s a good start, Anya. But remember, plastics are everywhere.  ",ศาสตราจารย์มาลี: เป็นการเริ่มต้นที่ดีนะอัญญา แต่จำไว้ว่าพลาสติกมีอยู่ทั่วไปทุกหนทุกแห่ง,Translated
1,287, , ,Skipped/Protected
